content,score,sentiment_score,sentiment
bgus,5,0,neutral
muas pakai brimo,5,10,positive
layan bagus sukses bri,5,-6,negative
brimo leluasa transaksi,5,8,positive
bantu terima kasih,5,-6,negative
tidak login brimo alas nomer sesuai nomer terdaftaremail daftar,1,-10,negative
mudah banget,5,0,neutral
praktiscepat mudah,5,-2,negative
kali pake brimo moga layan,5,-2,negative
mudah digunakanpraktiscuma mesti datakalo luar kota sinyal data,5,-16,negative
simpel aman mudah,5,4,positive
mantap moga depan semakinbaik,5,12,positive
mantab mudah,5,-2,negative
akun yang tutup buka,2,-20,negative
ok,5,8,positive
aplikasi bagus cuman bri biaya sms mahal banget ya notif kadang bancis bayar notifikasi sms doang kalau gin mending ganti bank aja aga kecewa,2,-18,negative
mntap jiwa,5,0,neutral
easy use simple,5,6,positive
proses cpt gk ribet mantap,5,4,positive
pokok brimo mantap deh,5,4,positive
terima kasih,4,2,positive
mudah bagus,5,-10,negative
senang nabung,5,-8,negative
bayar mudah ribet,5,-16,negative
mantabs,5,0,neutral
mudah transaksi ribet,5,-2,negative
bagus transaksi,5,0,neutral
bagus baget,5,-8,negative
keren truss bri udah gk kalah lo sma bank swasta lainlayanan jga ramah ramah banget jd betah,5,-18,negative
cepatdan bgusss,5,0,neutral
dangat butuh,3,-10,negative
satzettt,5,0,neutral
pusat adu layan nya jelek proses nya customer service nya banyak janji bikin langgan kecewaa,1,-14,negative
mudah pakai aplikasi brimo,5,-10,negative
aplikasi brimo mudah ok,5,-2,negative
bagus cep,5,-8,negative
mudah,5,-2,negative
suka notifnya,5,-2,negative
mudah smua transaksi kui like brimo,5,6,positive
alhamdulillah langsung coba moga amanah,3,26,positive
sanggat muas,5,10,positive
aplikasi lancar top,5,-2,negative
cepat,5,-6,negative
capek banget transaksi brimo nontifikasi yang tidak nguras saldo rb bayar saldo tolong baik min tabung bertamabah potong,2,-20,negative
transaksi apa mudah mantap brimo,5,10,positive
mudah nasabah transaksi,5,14,positive
gimana yahhh nggk login terang handphone sesuai sya cmn pke kartu datapulsa sdh cba login,2,-6,negative
bagus manfaat guna,5,4,positive
mudahhh,5,0,neutral
baik bantu,5,-10,negative
mudah transaksi,5,6,positive
aplikasi bagus guna banget,5,-12,negative
assalamualaikum,5,6,positive
aplikasi yang bagus cepat mudah pakai,5,-34,negative
oke mudah,5,2,positive
salah brimooku fiturnya jangn sulit,5,-8,negative
aplikasi baik mudah transaksi tks bri,5,-4,negative
maaf diturunin bintang apk banget update asa lelet buka,3,-14,negative
mantap bangetkalau transfer bank gratiss,5,10,positive
mudahdan bantu aktivitas,5,-8,negative
enak sih bingung,4,-8,negative
mudah cepat akurat,5,-8,negative
keren pake brimo,5,0,neutral
bri unit kutasari,5,-8,negative
terimakasih bri aplikasi bantu,5,-6,negative
bagus ribet,5,-16,negative
keren mantap bri,5,10,positive
aplikasi asumau daftar udah isi ga klik lanjutkantolol aplikasi ga,2,-32,negative
nyaman mudah tingkat layan aplikasi offline terimakasih,5,6,positive
goodeasytanpa ribet,5,-8,negative
kecewa layan cs bri tlvn,1,-4,negative
aplikasi brimo bagus mudah transaksi perban fitur fiturnya lengkap mudah verifikasi login mudahpokoknya brimo bagus aman,5,-32,negative
rekomendasi,5,0,neutral
bagus lancar,5,-12,negative
mantap aplikasi bantu,4,-6,negative
gin ratingna,3,0,neutral
moga slalu amanah yaa,5,12,positive
terimakasih aplikasi brimo fitur fiturnya mudah,5,0,neutral
terimkasih,5,0,neutral
mudah,5,-2,negative
layan cepat,5,-10,negative
bagus banget sih aplikasi mudah simple,5,-10,negative
urus brimo lancar ribet terima kasih,5,-10,negative
sangatttt bantu,5,-8,negative
praktis transaksi,5,16,positive
bantu dlm transaksi mudah dgn brimo,5,-2,negative
fitur log sidik jari hilang,4,-16,negative
moga depa brimo,4,2,positive
update aplikasi ga loginalasannya username password salahbeberapa kali kejadiantolong optimal kerja aplikasi,4,-12,negative
mepermudah banget klo ambil cash trf bayar belanja,5,-16,negative
bantu transakssi,5,-8,negative
mudah cepat aplikasi ga ribet,5,-24,negative
apk nya mantep,5,0,neutral
mantaaaaaap,5,0,neutral
ngelag gabisa buka,1,-6,negative
bagus banget apk nyakemren akun nya sempet blokir apk nya bimbing sampe akun nya pulih kambaliiii ga nyesell siihhhh kereeenn,5,-18,negative
brimo suka skali ngeframe jdi sulit transaksi upgrade tetep bgitu,2,6,positive
transaksi mudah,5,6,positive
mudah cepat mantap,5,2,positive
muas ken apk brimo pkok nya puas pke brimo,5,12,positive
tf beda bank cepat,5,-10,negative
mudah,5,-2,negative
app yng bantu,5,-8,negative
bagus mudah perlu bayar terima kasih brimo,5,-10,negative
mudah tele mutu,5,-4,negative
bantu pokok brimo oke,5,-10,negative
alhamdulillah bantu,5,2,positive
okberguna bnget,5,0,neutral
bagus banget mudah,5,-8,negative
syuka semuaa brimo bayar nya,5,-6,negative
layan cepat,5,-10,negative
update apk tdk buka,5,-6,negative
bang kode otp tidak muncul muncul gmail ganti pwnya karna lupa ulang kali kirim ulang tidak kode otp nya bang,3,-52,negative
saldo tahan cs robot,1,0,neutral
mudah praktis utk transfer,5,6,positive
bank buruk tidak buka data sesuai ktp kantor trouble,1,-26,negative
manteb,5,0,neutral
daftar salah masuk foto ktp sesuai ikut intruksi,1,-14,negative
pertamakali pake brimo mudah guna nya sukses brimo,5,6,positive
lumayan,5,-4,negative
brimo bantu aktivitas terimakasih,2,2,positive
mudah perli atm,5,-2,negative
aplikasi brimo bantu transaksi,5,-8,negative
proses simple dan akses sistem aktivitas lancar goodjobthanks brimo,5,0,neutral
bagus mudah orang,5,-10,negative
alhamdulillah transfer mana aja keren,5,12,positive
lelet,2,0,neutral
tahan layan,5,-8,negative
transaksi lancar muas,5,14,positive
aplikasi mudah bantu nasabah moga depan,5,-8,negative
pake brimo bikin rekening mbanking thankyou bri,5,0,neutral
akun ga masuk semenjak ganti hp email kartu daftar pasang ga masuk kartu ynag cantum tera nya udah pasang,1,0,neutral
kak brimo apk ga download tolong,3,-4,negative
aplikasi bantu bagus si anda kasih reward transaksi guna random,5,-26,negative
bantu moga depan kendala transaksi,5,2,positive
keren mantaaabb daaaahhhhh,5,0,neutral
lumayan mudah,4,-6,negative
aman,3,0,neutral
tolong kirim notif jam malam,3,-2,negative
mantap bangettt,5,10,positive
mqntap,5,0,neutral
aktif finansial pindah rekening alih rekening utama,1,-12,negative
habis update ko apk nga open ni,5,-12,negative
mudah transaksi,5,6,positive
ok,5,8,positive
sring oflen,4,0,neutral
okeee sih,5,0,neutral
baguss lahh top banget ngga ribet,5,0,neutral
akun buka,1,-6,negative
alam user masalah login salah username salah password dsb tidak login username password sesuai brimo ribet banget,1,-36,negative
mudahh,4,0,neutral
brimo kocak login tidak masuk user pw salah pas emng pw ama usernamenya,1,-22,negative
pokok keren,5,-6,negative
bantu utk bayar,5,-14,negative
aplikasi brimo bantu sya mantapz pokok nya,5,-22,negative
proses cepat amaaan terimakasih brimo,5,6,positive
suka,5,-2,negative
mudah,5,-2,negative
aplikasi gampang mudah transaksi,5,-8,negative
mudah transaksi,5,6,positive
asuuu,5,0,neutral
bagus mudah yang ribet,5,-28,negative
mudah,5,-2,negative
good app,5,10,positive
tidak bikin ribet,5,-18,negative
asuh ganggu daftar tidak ni,3,-28,negative
mantap praktis tidak cari link atm,5,2,positive
serta face lock fitur aman mudah login,3,-2,negative
terima kasih brimo bantu,5,-6,negative
transaksi mudah gampang banget nice like,5,10,positive
ngeri kali pakai brimo cek mutasi rekening potong biaya notifikasi notifikasi ngeri ngeri aja gpp notifikasi saldo potong notifikasi ngak auto hapuuuuuus,1,-34,negative
sulit nerima sms,5,0,neutral
bantu transaksi,5,0,neutral
mantap skali goesss,5,10,positive
selamat malam taya knp gk log iya udah daftar haya ganti hp nya tolong jelas nya bapaibu,4,-14,negative
terima kasih bri aplikasi brimo mudah,5,-8,negative
mantap cepat mudah,5,2,positive
kah ref bank negeri cair uang bukti kirim bank internasional,5,-4,negative
mudah,5,-2,negative
akses cepat mantab,5,-2,negative
mantap aplikasi,5,2,positive
terima kasih ya,5,10,positive
mantab jiwa,5,0,neutral
daftar berkalikali loading berharihari udah chat customer service suruh uninstall pasang aja kaga hasil,1,12,positive
mudah bayar tagih rutin,5,-14,negative
scan barcode,1,0,neutral
hati hati transaksi beli paket data aplikasi brimokronologi beli paket data simpati admin nya saldo rekening potong otomatis,2,-10,negative
ok banget,5,10,positive
bagus,4,-8,negative
pakai mudah cepat,5,-8,negative
mudah gunakana jdi peraktis,5,-2,negative
bantu perlu transaksi mana transsaksi,5,4,positive
bnyak sulit masuk ganggu hadeeehhh,2,-14,negative
aplikasi bagus keluh bayar qris kadang kendala coba banding akun mobile banking scan qr tingkat,4,-22,negative
pakai brimo ribet cepet,5,-4,negative
limit pinjam kur bri juta ya butuh yang aja,5,-6,negative
ok,4,8,positive
tolong jngan ganggu,4,-12,negative
bagusssbisa bantu usaha,5,-16,negative
mudah simple puas,5,10,positive
puas karna bayar tagih transfer keluarga mudah,5,-14,negative
mantappppuas pake brimo,5,0,neutral
bagus mudah tp login pakai wajah,3,-10,negative
bagussangat bantu,5,-8,negative
mantap brimo plus keren,5,14,positive
transaksi mudah mana,5,6,positive
bagus mudah transaksi bayar,5,-8,negative
finger print lu ngapain sih mulu risih banget woyy,1,0,neutral
simple,5,6,positive
mantap bantu,5,2,positive
manstap,5,0,neutral
aplikasi brimo hpku hapus kog ndak instal ya mohon solusi,5,-10,negative
mudah ecek uang atm,5,-2,negative
mantap,5,10,positive
mantap banget,5,12,positive
ol,4,0,neutral
ribet tee,5,-8,negative
bantu manfaat,5,2,positive
keren aja nih fiturfitur brimo moga update depan bagus,5,-4,negative
poko gampang bgtttt brimo mbanking favorit sayaa,5,-10,negative
keluar notif tidak,3,-16,negative
moga sukses,5,8,positive
brimo gampang,5,-6,negative
ntab,5,0,neutral
bantu era jaman serba aplikasi ok bri sipp moga depan nya bantu guna apk brimobagibagi saldo,5,-12,negative
mempermuadh urus,5,0,neutral
lumayan bagus layan,5,-16,negative
update baru muncul bug super annoying bayar uang kuliah gagal mohon baik cepat,1,-40,negative
mudah nasabah,5,6,positive
bagus bnget,4,-8,negative
akses cepat,5,-2,negative
bagus cepat,5,-14,negative
aplikasi deteksi nonor telepon telepon sesuai,1,-2,negative
gampang transaksi,5,2,positive
layan yang mudah nyaman cepat,5,-14,negative
layan costumer service oke,5,0,neutral
gampangmudahcepat transaksi,5,8,positive
aplikasi nya mudah cepat terima kasih bri,5,-14,negative
keren mudah,5,-2,negative
kantor bri pake brimo nya,5,0,neutral
bantu apk,5,-8,negative
baik rekomended,5,-2,negative
keren apk suka suka,5,-4,negative
makasihh ya mudah sekaliii,5,6,positive
muas beda mobile banking bank lengkap mudah pakai,5,-2,negative
hemat,5,-6,negative
bantu giat transaksi hari bulan praktis mudah,5,4,positive
nyaman modah,5,8,positive
cepat tnpa ribetdan yang isi bot,5,-30,negative
daftar banking susah tulis nomor rekening batas digit rek digit tulis jeda deteksi lanjut tolong baik ya,1,-26,negative
mudah puas brimo,5,4,positive
keren guna bayar,5,-4,negative
bantu bolooo trimakasih,5,0,neutral
mudah transaksi,5,6,positive
brimo bantu,5,-8,negative
alhamdulillah bantu dlm transaksi,5,10,positive
guna,4,2,positive
mantapmudah penggunananya,5,0,neutral
mantap bri,5,10,positive
bagus sih rek bri nya tidak tarik habis hrs sisakn rb diatm hmm mengsedih,5,-20,negative
transaksi mudah dgn brimo,5,6,positive
mateplah pokok serba cepat pake brimo,5,-12,negative
aplikasi tidak bagus bantu udah tidak masuk aplikasi suka,1,-60,negative
mudah langsung pakai hambat moga lancar error lagidan baik bantu ber transaksi trimakasih,5,-10,negative
versi kemarin bug login admin langsung gerak cepat tanggap keluh brimo terima kasih brimo,5,8,positive
execellent,5,0,neutral
halhamdulilah mudah,5,-2,negative
brimo,5,0,neutral
bagusbriguna aju bantu,5,-14,negative
aplikasi bagus verifikasi wajah susah kallo pikir wajah yang,1,-36,negative
bri kesini ribet aja layan nyapayah orang mah bagus layan nya burukmending pake bank swasta tidak ribet,1,-40,negative
mantul,5,0,neutral
saldo dplk lihat brimo update,1,10,positive
mudah puas,5,4,positive
mantap moga,5,12,positive
layan muas,5,6,positive
bantu sngat mudah trxplis moga eror ya brimo ku,5,-8,negative
bagus oke bnget poko,5,-8,negative
layan muas,5,6,positive
membabtu transaksi,5,8,positive
aplikasi bagus cari atm,4,-22,negative
suka bantu stiap transfer gin,5,-10,negative
baik,5,-2,negative
mudah tranfer anak mondok,5,-8,negative
guna aplikasi yang mudah lengkap,5,-24,negative
aplikasi bantu moga depan nya praktis bagus sekses,5,-14,negative
sip,5,0,neutral
guna bantu,5,-6,negative
gimana sih daftar bri mo gabisa error kode sixr males,1,-30,negative
mantb ok,5,8,positive
mantap ribet,5,2,positive
bagus banget sihh,5,-10,negative
hallo kembang lapor bug aplikasi ceria mohon baik login akses masuk,3,0,neutral
bagus gampang maka nya,5,-14,negative
aplikasi brimo best brimo uang dlm gegaman,5,-8,negative
aplikasi best rekomen banget fitur nya lengkap gampang,5,-18,negative
bagus mudah transfer terimakasih,5,0,neutral
mudah aplikasi brimo ga ribet,5,-18,negative
canggih,5,0,neutral
mudah transaksi hari,5,6,positive
goodd,5,0,neutral
susah login,1,-6,negative
great app,5,6,positive
hati hati cs cs ilegal,1,-8,negative
transaksi mudah,5,6,positive
mantap bri mo,5,10,positive
akal daftar brimo rekening sengaja sulit pakar ekonomi bank miskin negara rakyat indonesia korban era jaya emas media transaksi sukses,1,-8,negative
cepat,5,-6,negative
good job,4,10,positive
bantu mudah sekaligk ribetmakasih brimo,5,-10,negative
bantu aplikasi,5,-16,negative
brimo kalau menit aja pas tarik saya gabut njirr nunggu menit takut orang ngapangapain,5,-12,negative
isi saldo e wallet mesti transaksi gagal mulu tolong atmin,2,-18,negative
apk bagus gampang mudah digunakansemoga depan bagus,5,-24,negative
top,5,10,positive
bantu,5,-8,negative
gbsa pke fitur fingerprint pas update gabisa krn ponsel kompatibel,1,6,positive
tahan,5,-4,negative
fast response,5,0,neutral
brimo simple cepat oke,5,4,positive
brimo bri aplikasi hebat dasar nilai dorong desain degan aplikasi brimo bri inti tuju bangun jembatan manusia dunia aplikasi brimo bri digital kreapitas unik,5,-20,negative
mantul mantap urus uang jd mudah,5,8,positive
april bri life ngisi k cetak tabung mana uang yang,5,-8,negative
bismillah yang,5,-2,negative
aplikasi gaguna daftar aja ribet gara gagal upload foto ktp mulu,1,-32,negative
susah aktif fiancial brimonya,2,-12,negative
acc,5,0,neutral
smoga manfaat saldo,4,14,positive
perfect tolong tahan,5,-8,negative
alhamdulillah brimo bs mudah transaksi apa,5,10,positive
update brimonya ngebug ya,1,8,positive
brimo keren mntap,5,0,neutral
transaksi mudah bantu,5,-2,negative
alam,5,-2,negative
bagus kirim cepat tidak lambat,5,-18,negative
bagus tingkat layan nya,4,-10,negative
terimakasih bagus,5,2,positive
gagal upload foto daftar rekening tlg atas,1,-10,negative
alhamdulillah,4,10,positive
trimakasih layan yang ramah muas,5,-2,negative
aman,5,0,neutral
ok efektif efisien,5,26,positive
mohon baik apk sungguh buruk login buka apk tambah fitur sederhana atas buat opsi checklist lewat proses,1,-42,negative
mantap aplikasi tranfer uang,5,2,positive
transaksi cepat,5,2,positive
de beesss,5,0,neutral
bagus mudah transakasi,5,-10,negative
mantap mudah rumah nyaman komplit,4,22,positive
smnjak pake apk transaksi jdi mudah,5,6,positive
tidak login pdahl,5,-10,negative
brimo urus cepat poko mantab,5,-10,negative
mudah,5,-2,negative
brimo tidak buka password username masuk,1,-22,negative
transaksi mudah,5,6,positive
proses mudah,5,0,neutral
cepat aman,5,-6,negative
ber transaksi mudah gampang ga dr sih terimakasih bri,5,10,positive
ya brimonya susah banget buka pdhl sinyal nya bagus bilang koneksi internetmu,3,-18,negative
apk bantu transaksi praktis,5,8,positive
alhamdulilah aman nyama praktis semenjak pake brimo thanks bri,5,20,positive
oke si fingerprint nya kdng gk,5,4,positive
cepat nyaman,5,2,positive
alhmdulillah babgusss syukaaa,5,0,neutral
zaman serba praktis brimo bantu lancar transaksi moga tingkat layan,5,4,positive
bagus mudah,5,-10,negative
tampil bagus fitur komplit daftar gampang mudah guna hari,5,-26,negative
oke bagus ringan aktivitas,5,-6,negative
brimo mudah transaksi,5,6,positive
bantu terima kasih,5,-6,negative
bagus aman,5,-8,negative
brimo transaksi simple praktisefektif efisien,5,22,positive
mudah ga ribet,5,-10,negative
aplikasi,4,-8,negative
best,5,0,neutral
tidak buka apk bilang mohon tunggu,1,-24,negative
transfer bank cepat ambil mudah praktis,5,-10,negative
mudah,4,-2,negative
masuk pns pensiun hubung dg bank bri terima kasih layan,5,-20,negative
bagus layan ter hadap konsumentrima kasih kepadabri mo,5,-14,negative
mudah,5,-2,negative
bantu fiturnya mantap,5,2,positive
transaksi cepat mudah aman data jamin,5,-16,negative
okkk,4,0,neutral
akun brimo gagal yaa,4,-8,negative
mantap cepat baik,5,2,positive
bantu great,5,-2,negative
simple easy,5,6,positive
isi pulsa ribu saldo kurang tidak masuk pulsa gilir coba ribu pulsa nomer langsung masuk aju adu proses,5,-58,negative
yang baik,5,-12,negative
fitur nya enak puol mudah operasi,5,-8,negative
mudah cepat aman nyaman,5,0,neutral
mudah transaksi,4,6,positive
layan cepat ribet,5,-18,negative
aplikasi cacat bayar pake qiris transaksi gagal saldo udah potong udah aju solusi,1,-24,negative
overall bagus,5,-8,negative
bank ku best,5,0,neutral
saldo seeing ga muncul ga transfer,1,-2,negative
transaksi gagal p saldo kurang,1,-2,negative
mantap kali,4,10,positive
transper kios orang pakai dana saldo masuk mohon bantu,4,-6,negative
sukabanget,4,0,neutral
smart,5,0,neutral
sanggat bantu,5,-8,negative
alhamdulillah akhirny buka terimakasih bro,5,14,positive
mudah aman cepat,5,-8,negative
nyaman cepat,5,2,positive
bantu,5,-8,negative
bagus,4,-8,negative
like,5,0,neutral
sya daftar brimo tpi sya tau kode referallopsional lanjut,3,-30,negative
dgn aplikasi dpt mudah transaksi hp tdk repot atm,4,-12,negative
bantu tdk atm tp banking kdg suka eror ygy,5,-18,negative
mbangking blokir saldo tarik saldo uang gaji sayasudah cabang bri solusi mbangking buka live chat online arah cabangwaktu cabang bisapadahal bri utang piutang,1,2,positive
finger print ubah gk ngerubah hp cas ubah finer printnya,1,0,neutral
praktis tari brimo muas batas juta jd ribet bolak,4,10,positive
apk guna bantu terimakasi brimo,5,-6,negative
transaksi cepat kilat,1,-2,negative
mudah kurir transaksi transfer uang cod,5,6,positive
alhamdulillah mantull,5,10,positive
solusi atm ga kepake,5,6,positive
bantu,5,-8,negative
cepat,4,-6,negative
bagus bagus,5,-16,negative
aplikasi baik,5,-10,negative
akun blokir,1,-6,negative
aplikasi bagus kren pakai kendala af kasih bintang karna sa dapt atm buku tabung mohon bantu,3,-24,negative
bantu tdk ribet,5,-16,negative
nyusahin asli nomor gua bikin akun cuman digit ngotak perbaikin,1,-2,negative
mengunakan brimo mantap,5,10,positive
praktis singkat gk antri atm,5,2,positive
aplikasi brimo mudah praktis mantul poll,5,-2,negative
praktis cepat transaksi,5,10,positive
keren brimo,5,0,neutral
mantap brimo mesin atm keagenbrink transaksi rumah pakai aplikasi brimo trimakasih,5,24,positive
bantu bayar mana,5,-14,negative
puas bangat aplikasi mudah transaksi cepat,5,-2,negative
mudah cepat best,5,-8,negative
susah daptar brimo ber ulang kali ttp ga,1,-6,negative
mudah,5,-2,negative
mudah,4,-2,negative
mudah transaksi,5,6,positive
mantap jugak apikasi nya,5,10,positive
bantu,4,-8,negative
tidak login cuihcanda,5,-10,negative
keren sih aplikasi nya,5,-8,negative
akun brimo buka,3,-6,negative
bantu aplikasi brimo,5,-16,negative
keren tp knp gx top ovo,1,10,positive
mantabz aplikasi mudah,5,-10,negative
aplikasi telek dunia jengkel isi data tp gagal dlm daftar daftar arah buka rekening rekening dasar gelo tp rekening mudah daftar dasar si telekwis hapus aja aplikasi sampah penuhin layar,1,-102,negative
brimo mudah,5,-2,negative
bolee,5,0,neutral
fitur aman data nasabah tingkat,5,4,positive
ganggu butuh,1,-18,negative
terima kasih brimo lancar bayar apapunsukses,5,-8,negative
mantab mudah butuh transaksi,5,-4,negative
fungsi nyaa mudah paham,5,-2,negative
buka stuck loading,1,-6,negative
mantab simpan photo photo,5,-6,negative
eror kya gin gx masuk,1,-14,negative
suka keren bngat apk brimo ink,3,-2,negative
bagussangat mudah tiap transaksi,5,6,positive
ok untukntransaksi,5,8,positive
mudah transaksi uang,5,6,positive
mudah urus,5,-2,negative
mudah ber transaksi,5,6,positive
mudah,5,-2,negative
baguslancar mudah,5,-2,negative
bosssss,5,0,neutral
sempel,5,0,neutral
susah,5,-6,negative
mudah mana,5,-2,negative
mudah pengunaan aplikasi trimakasih,5,-2,negative
minggu bank benerin apk brimo yang blokir tnpa udah kumat kygtu yang kali klo kygni trus mending pindah bank aja,1,-44,negative
bayar uang hilang mana trus status proses trus sampe bln,1,-12,negative
mudah,5,-2,negative
responsif,4,0,neutral
bagus,5,-8,negative
alam sebel tau tau blokir masuk akun tpi gagal hadeuh sistem aman mnurut masa,1,-56,negative
saldo ga ntar bintang,5,4,positive
brimo aplikasi jelek sya login akun masalah aplikasi jelek garagara brimo uang hilang gitu ajh juta,1,-48,negative
pas pembukaam rekening verifikasi wajah gabisa buka kamera hp kondisi ga masalah tolong dong baik nunggu gabisa veriikasi wajah buka rekening tunda gara gara,2,-34,negative
kirim uang dana brimo tidak masuk aneh,4,-12,negative
aplikasi sampah gx,1,-16,negative
moga depan,5,2,positive
mudah transaksi,5,6,positive
daftar ribet scan wajah gagal gonta ganti jaring wifi tolong baik,5,-28,negative
brimo ok,5,8,positive
bagus efisien,5,0,neutral
aplikasi bantu siip gk tf,5,-16,negative
tidak masuk emailnyaharusnya identitas nomer handphonebanyaknya kendala daftar brimodengan whatsapp solusi,3,-16,negative
bantu mudah,5,-10,negative
aplikasi bagus mudah transaksi,5,-10,negative
min saldo saya kena potong sebab nya min,4,-16,negative
good,4,10,positive
mantap terbanntu,5,10,positive
bom kendala lancar,5,-6,negative
simplehemat biaya cepat,5,-6,negative
mantap mudah,5,8,positive
kualitas bagus,5,0,neutral
masuk brimo imel sala bener,1,-8,negative
terima kasih bantu aktifitas transaksi,5,2,positive
nonaktif notifikasi brimo muncul email tolong hapus biaya berat mohon respon brimo bri,5,-16,negative
mudah tf,5,-2,negative
dgn brimo jd serba mudah aman lancar trmksh brimo,5,-6,negative
oke,5,4,positive
nomer hp daftar tdk aktifmati solusi kak salah masuk paswoord kalidi instal ulang suruh masuk nomer hp didaftarkanpadahal simpel koq ribet ya,4,-18,negative
puas,5,6,positive
bantu jam kerja bnk libur,5,2,positive
singkat,5,-6,negative
mudah kerja,5,2,positive
bantu bayar non tunai,5,-8,negative
guna banget ini baguss bangettt masyaallah,5,4,positive
far good,4,10,positive
mudah transaksi aman moga sukses,5,14,positive
brimo bagus kali,5,-8,negative
josss brimo,5,0,neutral
bantu,5,-8,negative
mudah transaksi pokok nya puas deh,4,6,positive
mudah pahamidan bantu,5,-10,negative
grwat,5,0,neutral
bantu yad kendala moga yang baik,5,-18,negative
bantu,5,-8,negative
puas pake brimo,5,6,positive
daftar fitur lanjut nya ga tekan tekan ntah sebab data udah isi semuaa bilang jaring jaring cobak buka aplikasi lancar sampe daftar brimo karna fitur lanjut nya ga tekan,1,-76,negative
puastp tolong kalau tari tunai limit jtlimit juta kalau,5,4,positive
layan buruk claim transaksi qris gagal kembali bulan tidak selesai telepon suruh tunggu banding balik bca bulan lapor adu hilang dibrimo nglaporin gagal bri level bumn ancur gin layan,3,-84,negative
dah oke,5,-2,negative
aplikasi yang muda bantu utk transaksi,5,-22,negative
susah bikin akun,1,-6,negative
mantap pis,5,10,positive
mudah transaksi ga jauhjauh brilink atm,5,6,positive
bantu baik,5,-10,negative
ganggu,2,-8,negative
ssh daftar nya,5,-6,negative
bantu transaksi mudah,5,-2,negative
bantu mudah transaksi bayar diam hemat,5,-20,negative
simpel praktis pokok nya mantap,5,18,positive
gagal mengupload foto ktp udah coba puluh kali,1,-4,negative
moga sukses,5,8,positive
mudah transaksiterimakasih,5,-2,negative
suka apk brimo,5,-2,negative
brimo solusi dompet digital,5,6,positive
baguss,5,0,neutral
make easy transaksi bareng brimo,5,2,positive
cepat mudahmantap,5,-6,negative
bagus good terima kasih bri layananan baik maaanntaaavvvff,5,2,positive
cepat bagus,5,-14,negative
mudah nasabah,5,6,positive
brimo bantu,5,-8,negative
susah mu buka lg akun brimo hp sy abis resetskrg mu ngaktipin lg brimo ko susah,2,-22,negative
top dah bri,5,4,positive
bantu mudah,5,-10,negative
alhamdulillah semenjak brimo praktis nyaman krna ga pergi indomaret wkwk ko semenjak update brimo ga buka ya apk nya maleman ga buka aplikasi nya,5,8,positive
bri mo mantap,5,10,positive
thx u tidak repotkluar tranfer best deh poko,5,-14,negative
pokok mudah moga aman brimo mantap,5,4,positive
alhamdulillah siiip,5,10,positive
mudah transaksi,5,6,positive
mantap pegang amanah rakyat indonesia,5,16,positive
tidak ribet sat set,5,-18,negative
ok mudah tf bank nominal,5,6,positive
transaksi cpt tidak ribet,5,-10,negative
menyalaaa,5,0,neutral
update rating kemarin bayar pake qtis error tolong lahh kalau ga becus gausah update aplikasi fitur udah bagus kyak ubah,1,-54,negative
mudah urus gengaman,5,-2,negative
aplikasi bagusyang tingkat wilayah bayar pajak signal tambahlampung adajadi tidak bayar brimo,4,-34,negative
mudah transaksi nasabah,5,14,positive
aman praktis simpel lg cepet mudah terima kasih aplikasi brimooo amanah,5,20,positive
selesai buat atm brimo cabang tanjung,5,-6,negative
asyikk,5,0,neutral
kode otp ngak kirim berkalikali bikin akun ngak jadijadi,1,-2,negative
mudah fitur lengkap transaksi apa,5,-6,negative
mantap,5,10,positive
mudah erti terimakasih bantu,5,-4,negative
bagus apa fiturnya detail,5,-10,negative
bagus maju,5,-8,negative
alhamdulillah,5,10,positive
mudah mantap,5,8,positive
brimo mudah,5,-2,negative
aman data mohon tingkat,5,-8,negative
bagus keren,5,-8,negative
brimo bantu transaksi uang,5,0,neutral
matiin sms notif gmna kena potong nabung buntung,2,-24,negative
aplikasi keren bagus bantu dlm proses perban tingkat lg uma utk layan protect sih,5,-30,negative
trimakasih lancar,5,4,positive
partai brimob mudah transaksi apa,5,0,neutral
buka brimo,5,-6,negative
mantap brimo mungut biaya transaksi sukses terima kasih,5,22,positive
mantab bagus banget,5,-6,negative
males banget suka eror tidak butuh bangetau transfer eror,1,-44,negative
akun brimo gabisa login kartu udah sesuai yang daftar bikin nyaman guna rugi,1,-10,negative
transaksi cepat,5,2,positive
terima kasih berimo,5,2,positive
knp si gabisa akses mulu dah anj suru nunggu trs gabisa oke,1,2,positive
masuk data nama karakter spesial petik koma dll,5,-4,negative
daftar brimo gk bsa saat foto ktp,4,0,neutral
niceee,5,0,neutral
bank ajaib dana nasabah rekening hilang sulap trus solusitanggungjawab cs alas blokir nasabah mending pindah bank,3,-2,negative
login daptar pakai hp aktip ko skrng login hp terdaptar aneh,1,-8,negative
mntap,5,0,neutral
cuman kecewa sihaku top akun dana sdh minggu diprosesknp enggk batal ajadan kembali saldo brimo,3,12,positive
bagus muad cepat transaksi,5,-6,negative
okk,5,0,neutral
senang terimakasih mudah cepat aman,5,-6,negative
mudah transfer uang pokok nya brimo bagus,5,-16,negative
bantu aplikasi brimo,5,-16,negative
akun tahap ga dapet kode privyid kirim ulang brp kali,1,2,positive
sayang ambil max tari atm,4,-14,negative
ok tinggal tingkat lg,5,4,positive
verifikasi cocok foto harap digital cepat luhur sdh ckup bantu moga lbh tks,3,-18,negative
